"Collar","Sample ID","Geol_From","Geol_To","Thickness","Chk","Comments","Lab","Dispatch_ID","Lab_Certificate","Dispatch_Date","Drill_Sample_Type","Sample_Mass","Sampler","Samp_Date","AuCheck_ppm_Au-AA23","AuCheck_ppm_Au-AA24","AuCheck_ppm_Au-GRA22","RecvdWt_kg_WEI-21"
"JES-25-113","676034","47.275","48.8","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.89","Yuvitza.Davila","10/04/2025","","","","10.91"
"JES-25-113","676035","48.8","50.325","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.44","Yuvitza.Davila","10/04/2025","","","","10.02"
"JES-25-113","676038","50.325","51.85","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.28","Yuvitza.Davila","10/04/2025","","","","9.52"
"JES-25-113","676039","51.85","53.375","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.38","Yuvitza.Davila","10/04/2025","","","","10.37"
"JES-25-113","676040","53.375","54.9","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.875","Yuvitza.Davila","10/04/2025","","","","9.880000000000001"
"JES-25-113","676041","54.9","56.425","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.405","Yuvitza.Davila","10/04/2025","","","","9.41"
"JES-25-113","676042","56.425","57.95","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.8","Yuvitza.Davila","10/04/2025","","","","9.800000000000001"
"JES-25-113","676043","57.95","59.475","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.126","Yuvitza.Davila","10/04/2025","","","","10.13"
"JES-25-113","676044","59.475","61","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.355","Yuvitza.Davila","10/04/2025","","","","10.36"
"JES-25-113","676045","61","62.525","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.42","Yuvitza.Davila","10/04/2025","","","","10.44"
"JES-25-113","676046","62.525","64.05","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.27","Yuvitza.Davila","10/04/2025","","","","10.27"
"JES-25-113","676047","64.05","65.575","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.92","Yuvitza.Davila","10/04/2025","","","","11.09"
"JES-25-113","676048","65.575","67.1","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.375","Yuvitza.Davila","10/04/2025","","","","11.39"
"JES-25-113","676049","67.1","68.625","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.445","Yuvitza.Davila","10/04/2025","","","","10.44"
"JES-25-113","676050","68.625","70.15","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.75","Yuvitza.Davila","10/04/2025","","","","9.75"
"JES-25-113","676051","70.15","71.675","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","12.215","Yuvitza.Davila","10/04/2025","","","","12.22"
"JES-25-113","676052","71.675","73.2","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.425","Yuvitza.Davila","10/04/2025","","","","10.44"
"JES-25-113","676053","73.2","74.725","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.195","Yuvitza.Davila","10/04/2025","","","","9.23"
"JES-25-113","676054","74.725","76.25","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","12.11","Yuvitza.Davila","10/04/2025","","","","12.14"
"JES-25-113","676056","76.25","77.775","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.995","MartinNovara","17/04/2025","","","","10.99"
"JES-25-113","676057","77.775","79.3","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","12.725","MartinNovara","17/04/2025","","","","13.09"
"JES-25-113","676058","79.3","80.825","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.265","MartinNovara","17/04/2025","","","","10.28"
"JES-25-113","676059","80.825","82.35","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.02","MartinNovara","17/04/2025","","","","8.800000000000001"
"JES-25-113","676060","82.35","83.875","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.89","MartinNovara","17/04/2025","","","","9.9"
"JES-25-113","676061","83.875","85.4","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","13.86","MartinNovara","17/04/2025","","","","13.87"
"JES-25-113","676062","85.4","86.925","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.65","MartinNovara","17/04/2025","","","","11.66"
"JES-25-113","676063","86.925","88.45","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","7.68","MartinNovara","17/04/2025","","","","7.67"
"JES-25-113","676064","88.45","89.975","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.255","MartinNovara","17/04/2025","","","","10.26"
"JES-25-113","676065","89.975","91.5","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","12.15","MartinNovara","17/04/2025","","","","12.17"
"JES-25-113","676066","91.5","93.025","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.065","MartinNovara","17/04/2025","","","","11.1"
"JES-25-113","676067","93.025","94.55","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.15","MartinNovara","17/04/2025","","","","10.19"
"JES-25-113","676068","94.55","96.075","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","8.505","MartinNovara","17/04/2025","","","","8.51"
"JES-25-113","676069","96.075","97.6","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.18","MartinNovara","17/04/2025","","","","9.199999999999999"
"JES-25-113","676070","97.6","99.125","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.615","MartinNovara","17/04/2025","","","","10.63"
"JES-25-113","676071","99.125","100.65","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","7.505","MartinNovara","17/04/2025","","","","7.5"
"JES-25-113","676073","100.65","102.175","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","7.76","MartinNovara","17/04/2025","","","","7.76"
"JES-25-113","676074","102.175","103.7","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.625","MartinNovara","17/04/2025","","","","10.65"
"JES-25-113","676075","103.7","105.225","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","6.935","MartinNovara","17/04/2025","","","","6.94"
"JES-25-113","676076","105.225","106.75","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","12.12","MartinNovara","17/04/2025","","","","12.13"
"JES-25-113","676077","106.75","108.275","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.43","MartinNovara","17/04/2025","","","","10.46"
"JES-25-113","676078","108.275","109.8","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.93","MartinNovara","17/04/2025","","","","9.94"
"JES-25-113","676079","109.8","111.325","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","12.93","MartinNovara","17/04/2025","","","","12.94"
"JES-25-113","676080","111.325","112.85","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.96","MartinNovara","17/04/2025","","","","10.97"
"JES-25-113","676081","112.85","114.375","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.28","MartinNovara","17/04/2025","","","","11.29"
"JES-25-113","676082","114.375","115.9","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.165","MartinNovara","17/04/2025","","","","11.17"
"JES-25-113","676083","115.9","117.425","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","8.08","MartinNovara","17/04/2025","","","","8.08"
"JES-25-113","676084","117.425","118.95","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","14.06","MartinNovara","17/04/2025","","","","14.08"
"JES-25-113","676085","118.95","120.475","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","13.42","MartinNovara","17/04/2025","","","","13.43"
"JES-25-113","676086","120.475","122","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","13.105","MartinNovara","17/04/2025","","","","13.1"
"JES-25-113","676087","122","123.525","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","7.375","MartinNovara","17/04/2025","","","","7.38"
