"Collar","Sample ID","Geol_From","Geol_To","Thickness","Chk","Comments","Lab","Dispatch_ID","Lab_Certificate","Dispatch_Date","Drill_Sample_Type","Sample_Mass","Sampler","Samp_Date","AuCheck_ppm_Au-AA23","AuCheck_ppm_Au-AA24","AuCheck_ppm_Au-GRA22","RecvdWt_kg_WEI-21"
"JES-25-103","675002","0","5.6","5.6","1","Mide 110 cm","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","2.74","Yuvitza.Davila","15/01/2025","","","","1.94"
"JES-25-103","675003","5.6","7.8","2.2","1","La muestra mide 50 cm","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","1.67","Yuvitza.Davila","15/01/2025","","","","0.87"
"JES-25-103","675004","7.8","9.8","2","1","La muestra mide 150 cm","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","3.75","Yuvitza.Davila","15/01/2025","","","","2.94"
"JES-25-103","675005","9.8","11.8","2","1","110","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","2.97","Yuvitza.Davila","15/01/2025","","","","2.17"
"JES-25-103","675006","11.8","13.6","1.8","1","La muestra mide 110.","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","3.4","Yuvitza.Davila","15/01/2025","","","","3.41"
"JES-25-103","675007","13.6","15.6","2","1","La muestra mide 110","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","5.595","Yuvitza.Davila","15/01/2025","","","","5.6"
"JES-25-103","675008","15.6","17.6","2","1","La muestra mide 2 mts","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","3.405","Yuvitza.Davila","15/01/2025","","","","3.41"
"JES-25-103","675009","17.6","19.7","2.1","1","La muestra mide 190 cm.","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","5.385","Yuvitza.Davila","15/01/2025","","","","5.39"
"JES-25-103","675010","19.7","21.3","1.6","1","La muestra mide 2m","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","3.725","Yuvitza.Davila","15/01/2025","","","","3.73"
"JES-25-103","675012","21.3","23.65","2.35","1","La muestra mide 2 m","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","3.72","Yuvitza.Davila","15/01/2025","","","","3.72"
"JES-25-103","675013","23.65","26.4","2.75","1","la muestra mide 2m","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","3.02","Yuvitza.Davila","15/01/2025","","","","3.03"
"JES-25-103","675014","26.4","29.3","2.9","1","La muestra mide 1.50m","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","4.025","Yuvitza.Davila","15/01/2025","","","","4.04"
"JES-25-103","675016","29.3","30.9","1.6","1","La muestra mide 160","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_QuarterSplit","4.94","Yuvitza.Davila","15/01/2025","","","","2.39"
"JES-25-103","675017","30.9","32.5","1.6","1","La muestra mide 180cm","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","5.775","Yuvitza.Davila","15/01/2025","","","","5.78"
"JES-25-103","675018","32.5","33","0.5","1","La muestra mide 1.90","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","1.71","Yuvitza.Davila","15/01/2025","","","","1.72"
"JES-25-103","675019","33","35","2","1","La muestra mide 50m","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","5.785","Yuvitza.Davila","15/01/2025","","","","5.8"
"JES-25-103","675020","35","36","1","1","La muestra mide 2mts","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","3.81","Yuvitza.Davila","15/01/2025","","","","3.82"
"JES-25-103","675021","36","38","2","1","La muestra mide 110cm.","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","4.81","Yuvitza.Davila","15/01/2025","","","","4.81"
"JES-25-103","675022","38","39.75","1.75","1","La muestra mide 2mts","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","4.385","Yuvitza.Davila","15/01/2025","","","","4.39"
"JES-25-103","675023","39.75","41.5","1.75","1","La muestra mide 2mts","ALS","PIL-077","HE25027014 - Finalized","15/01/2025","Core_HalfSplit","5.48","Yuvitza.Davila","15/01/2025","","","","5.49"
